id,name,enrollment_number,birth_date,gender,address,phone,email
1,Steve Fry,ENR0001,2018-02-26,male,"PSC 8073, Box 5919 APO AP 95621",(725)377-1812,susanlynch@example.com
2,James Torres,ENR0002,2017-10-10,other,"159 Ramirez Shore West Aprilmouth, MN 58646",6716001406,brenda11@example.net
3,Jill Wade MD,ENR0003,2018-05-20,female,"PSC 3478, Box 5431 APO AE 81940",4448384865,lbaldwin@example.com
4,Loretta Nguyen,ENR0004,2017-07-29,female,"4839 Jake Underpass New Kenneth, NE 84181",951-362-4819x6432,xthompson@example.org
5,Anthony English,ENR0005,2018-06-13,male,"56621 Phillips Hill Apt. 741 New Karenton, NV 49374",001-376-906-6504x79084,mhenderson@example.com
6,Holly Cochran,ENR0006,2018-01-10,other,"1619 Mary Fall Suite 646 Christinaberg, TX 07954",383.387.1360,jennamacias@example.com
7,Kayla Garcia,ENR0007,2018-05-09,female,"66409 Cynthia Lake Apt. 074 North Emily, ME 23802",(797)578-0985,robertsanchez@example.org
8,Dawn Johnson,ENR0008,2018-02-28,female,"6968 Bishop Flat Apt. 012 Calvinside, VA 69130",001-534-796-9720x8869,brittany34@example.net
9,Elizabeth Watkins,ENR0009,2018-01-09,other,"4305 Chavez Harbor Apt. 498 Cynthiaberg, AS 39084",635-859-9230x353,justinrojas@example.net
10,Rebecca Barton,ENR0010,2018-05-09,other,"3861 Sims Fields Suite 469 New Claudia, AZ 27169",646-752-9846,perrysteven@example.net
11,Robert Martin,ENR0011,2018-03-06,other,"730 Johnson Harbor Apt. 126 South Angela, WV 21999",(556)577-1056,vluna@example.net
12,Thomas Sullivan,ENR0012,2017-08-23,other,"074 Paul Extensions West Donald, CA 69214",001-606-358-7272,mooreann@example.com
13,Brandon Gaines,ENR0013,2017-09-28,male,"2814 Sarah Fort Suite 269 Lake Tina, TX 45503",(739)274-2017x6032,william66@example.org
14,Lauren Contreras,ENR0014,2018-02-07,female,"50018 Callahan Lane Apt. 562 Port Valerie, VI 01505",802.645.8042x44338,garrett54@example.net
15,Ernest Miller,ENR0015,2017-08-04,male,"310 Ronald Lane Apt. 780 New Jonathan, PR 45306",213.431.2724x45866,ronaldrichmond@example.org
16,Anthony Gardner,ENR0016,2018-02-05,other,Unit 4953 Box 6969 DPO AA 70339,+1-758-844-5198x097,fjackson@example.com
